PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
Alperen Sengun,Houston Rockets,1,11,36,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-179,179,0
Chet Holmgren,Oklahoma City Thunder,1,11,26,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,0,13,1
Amen Thompson,Houston Rockets,1,11,8,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,233,0,0
Jabari Smith Jr.,Houston Rockets,1,11,2,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,-7,-5,1
Chet Holmgren,Oklahoma City Thunder,1,10,50,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,64,39,1
Alperen Sengun,Houston Rockets,1,10,24,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),14,72,126,0
Kevin Durant,Houston Rockets,1,10,7,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,0,-1,1
Chet Holmgren,Oklahoma City Thunder,1,9,52,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,59,116,1
Jabari Smith Jr.,Houston Rockets,1,9,35,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,164,201,1
Cason Wallace,Oklahoma City Thunder,1,9,21,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,74,251,0
Kevin Durant,Houston Rockets,1,9,6,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),9,85,37,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,8,57,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-217,132,0
Luguentz Dort,Oklahoma City Thunder,1,8,49,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-10,11,1
Amen Thompson,Houston Rockets,1,8,20,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,227,38,0
Amen Thompson,Houston Rockets,1,8,17,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),3,5,35,1
Jabari Smith Jr.,Houston Rockets,1,8,3,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,168,203,0
Isaiah Hartenstein,Oklahoma City Thunder,1,7,49,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),11,9,115,0
Isaiah Hartenstein,Oklahoma City Thunder,1,7,45,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8,-76,33,0
Chet Holmgren,Oklahoma City Thunder,1,7,42,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),23,211,97,1
Amen Thompson,Houston Rockets,1,7,26,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),23,-1,231,1
Chet Holmgren,Oklahoma City Thunder,1,7,10,Jump Shot,2PT Field Goal,Mid-Range,Center(C),13,-4,139,1
Alperen Sengun,Houston Rockets,1,6,52,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-4,-10,1
Amen Thompson,Houston Rockets,1,6,29,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,21,130,1
Luguentz Dort,Oklahoma City Thunder,1,6,16,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,99,248,0
Kevin Durant,Houston Rockets,1,5,56,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),5,7,53,1
Jaylin Williams,Oklahoma City Thunder,1,5,43,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16,-168,8,1
Amen Thompson,Houston Rockets,1,5,31,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,-6,1
Kevin Durant,Houston Rockets,1,4,53,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-195,157,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,4,39,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,16,13,1
Kevin Durant,Houston Rockets,1,4,25,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),11,82,78,0
Luguentz Dort,Oklahoma City Thunder,1,4,17,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,8,1
Aaron Wiggins,Oklahoma City Thunder,1,3,43,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,223,2,0
Kevin Durant,Houston Rockets,1,3,0,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16,-49,155,1
Jaylin Williams,Oklahoma City Thunder,1,2,47,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,116,237,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,2,10,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),15,-26,148,0
