PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,TIME_REMAINING_SEC,EXPECTED_FG
Alperen Sengun,Houston Rockets,1,11,36,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-179,179,0,696,0.35951466234626756
Chet Holmgren,Oklahoma City Thunder,1,11,26,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,0,13,1,686,0.6260281824941516
Amen Thompson,Houston Rockets,1,11,8,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,233,0,0,668,0.3895908024765831
Jabari Smith Jr.,Houston Rockets,1,11,2,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,-7,-5,1,662,0.6364432761217141
Chet Holmgren,Oklahoma City Thunder,1,10,50,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,64,39,1,650,0.5600789954416866
Alperen Sengun,Houston Rockets,1,10,24,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),14,72,126,0,624,0.4777330934723908
Kevin Durant,Houston Rockets,1,10,7,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,0,-1,1,607,0.6345602994433498
Chet Holmgren,Oklahoma City Thunder,1,9,52,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,59,116,1,592,0.48817757485798813
Jabari Smith Jr.,Houston Rockets,1,9,35,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,164,201,1,575,0.3554657823141531
Cason Wallace,Oklahoma City Thunder,1,9,21,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,74,251,0,561,0.3423080666255077
Kevin Durant,Houston Rockets,1,9,6,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),9,85,37,0,546,0.5350474233485901
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,8,57,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-217,132,0,537,0.3570033136691482
Luguentz Dort,Oklahoma City Thunder,1,8,49,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-10,11,1,529,0.6212197399560722
Amen Thompson,Houston Rockets,1,8,20,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,227,38,0,500,0.3822708715198929
Amen Thompson,Houston Rockets,1,8,17,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),3,5,35,1,497,0.5980448220155818
Jabari Smith Jr.,Houston Rockets,1,8,3,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,168,203,0,483,0.34261183072257706
